Configuration,Rule Source,Sarif Identifier,Alerts
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/redundant-assignment,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/redundant-operation,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/reflected-xss,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/regex-injection,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/regex/always-matches,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/regex/back-reference-before-group,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/regex/back-reference-to-negative-lookahead,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/regex/duplicate-in-character-class,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/regex/empty-character-class,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/regex/missing-regexp-anchor,2
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/regex/unbound-back-reference,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/regex/unmatchable-caret,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/regex/unmatchable-dollar,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/remote-property-injection,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/request-forgery,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/resource-exhaustion,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/resource-exhaustion-from-deep-object-traversal,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/samesite-none-cookie,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/second-order-command-line-injection,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/sensitive-get-query,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/server-crash,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/server-side-unvalidated-url-redirection,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/session-fixation,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/setter-return,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/shell-command-constructed-from-input,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/shell-command-injection-from-environment,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/shift-out-of-range,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/sql-injection,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/stack-trace-exposure,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/stored-xss,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/strict-mode-call-stack-introspection,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/string-instead-of-regex,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/summary/lines-of-code,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/summary/lines-of-user-code,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/superfluous-trailing-arguments,1
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/suspicious-method-name-declaration,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/syntax-error,0
